<Phenotype>
taxa	data
Taxa	EarHT
33-16	1.022429
38-11	6.8341317
4226	4.2979536
4722	5.0385785
A188	-4.784132
A214N	1.397087
A239	-0.99592173
A272	-5.67483
A441-5	-0.7531857
A554	-4.2533345
A556	-8.785552
A6	14.254154
A619	-5.3618393
A632	7.327762
A634	0.3369667
A635	-8.834304
A641	2.7169526
A654	-3.1053681
A659	-5.0121117
A661	-0.9300664
A679	-3.5276556
A680	-2.9758797
A682	1.4594263
AB28A	1.4942563
B10	6.96885
B103	-4.806448
B104	-6.161577
B105	3.9566498
B109	-1.7846218
B115	3.522298
B14A	-1.9290111
B164	4.944543
B2	-8.184134
B37	13.426824
B46	-3.8911088
B52	6.5825286
B57	-5.49932
B64	6.051149
B68	5.9726663
B73	10.833765
B73HTRHM	1.0505366
B75	1.4698358
B76	-6.030087
B77	-1.7561691
B79	2.8368616
B84	5.0057344
B97	-1.5443553
C103	3.6870914
C123	-5.119666
C49A	-6.58182
CH701-30	1.641699
CH9	-5.1925387
CI187-2	0.77032423
CI21E	-1.4769961
CI28A	7.6403155
CI31A	6.672066
CI3A	1.5071242
CI64	-2.4087307
CI66	-4.7940345
CI7	5.9632454
CI90C	0.9470095
CI91B	-4.70345
CM105	-5.720732
CM174	-1.4649037
CM37	-4.3134484
CM7	-6.3370986
CML10	12.212993
CML103	1.0786965
CML108	-4.9024887
CML11	-2.122306
CML14	0.7139818
CML154Q	-4.115752
CML157Q	13.600185
CML158Q	0.74169064
CML218	-4.8292556
CML220	-10.470538
CML228	-1.3325582
CML238	-10.206962
CML247	-1.3033881
CML254	-3.5302606
CML258	12.396552
CML261	8.877604
CML264	-6.5657434
CML277	2.6085722
CML281	-1.6009306
CML287	6.4808273
CML311	5.4072633
CML314	-0.40115058
CML321	2.5600226
CML322	-1.6437906
CML323	-4.2064466
CML328	3.0265815
CML331	-5.5793076
CML332	2.2589724
CML333	8.536846
CML341	5.9138308
CML38	2.496843
CML45	-13.229526
CML5	1.6353437
CML52	8.089919
CML69	-0.17911057
CML77	-4.2740374
CML91	-3.8801095
CML92	0.30814913
CMV3	-2.1605487
CO106	-5.453653
CO125	-3.1931646
CO255	-0.58634037
D940Y	3.8602314
DE1	4.661175
DE2	-1.6063007
DE3	3.1679873
DE811	8.176018
E2558W	-0.6824158
EP1	-4.137534
F2834T	-10.243133
F44	6.552513
F6	13.038824
F7	-6.1870728
GA209	0.9199987
GT112	33.06941
H105W	-5.9807997
H49	-0.333795
H84	-4.0614414
H91	0.95058733
H95	2.101835
H99	-8.775203
HI27	4.967173
HP301	8.543167
HY	1.6482182
I137TN	-1.8529223
I205	0.58751976
I29	-3.4739473
IA2132	-1.7396657
IA5125	-8.042621
IDS28	2.8717303
IDS69	-9.066493
IDS91	-12.6717415
IL101	-1.9842373
IL14H	0.21529582
IL677A	1.771986
K148	-3.1824174
K4	4.0767393
K55	-4.747295
K64	5.3918114
KI11	-7.4881454
KI14	4.456335
KI2021	14.435823
KI21	7.423992
KI3	-10.303761
KI43	-4.4121194
KI44	-4.709381
KY21	4.3813033
KY226	-0.30260244
KY228	-1.8132323
L317	10.805695
L578	10.781004
M14	-3.6175065
M162W	1.8862437
M37W	-2.8843098
MEF156-55-2	6.6132135
MO17	-2.0417404
MO18W	-2.7664428
MO1W	3.5106075
MO24W	9.157216
MO44	-7.652026
MO45	5.5421357
MO46	-3.5633924
MO47	-9.262766
MOG	4.5451393
MP339	0.95995086
MS1334	-0.8348171
MS153	0.3623377
MS71	-0.43173337
MT42	-1.7942036
N192	-6.308835
N28HT	-0.45610544
N6	-2.2072308
N7A	-0.7063074
NC222	4.550458
NC230	2.1065888
NC232	-2.2600236
NC236	-1.4929235
NC238	-19.910543
NC250	-11.646153
NC258	1.7373135
NC260	1.6395888
NC262	-11.374565
NC264	-8.342508
NC290A	-1.5008847
NC294	4.013877
NC296	5.536385
NC296A	-3.3340898
NC298	-4.3097224
NC300	0.81790847
NC302	0.8756259
NC304	-22.343369
NC306	-3.1658015
NC310	-9.438683
NC314	0.30486038
NC318	1.5648543
NC320	9.429361
NC324	-1.5408545
NC326	17.377352
NC328	-11.632708
NC33	9.774067
NC336	-5.4452977
NC338	1.7092434
NC340	-6.846523
NC342	8.862884
NC344	4.599698
NC346	-0.060413342
NC348	6.931346
NC350	-0.3876571
NC352	-2.2200494
NC354	0.4090282
NC356	-3.204022
NC358	-10.137256
NC360	-4.20312
NC362	2.4097433
NC364	-0.39383888
NC366	-3.3660579
NC368	0.0914777
ND246	-4.6133637
OH40B	-2.1257663
OH43	4.097919
OH43E	-2.9518156
OH603	-4.582016
OH7B	9.501488
OS420	3.205255
P39	2.7389688
PA762	1.9239178
PA875	2.9068553
PA880	3.3890316
PA91	-1.1095899
R109B	-2.121519
R168	1.6193955
R177	-6.1420484
R229	3.6652727
R4	0.29278234
SA24	0.03611013
SC213R	-1.8727714
SC357	-4.5456142
SC55	20.467987
SD40	-10.889143
SD44	-3.5016668
SG1533	4.179215
SG18	11.442366
T232	1.7553496
T234	1.7324483
T8	14.970283
TX303	5.7892942
TX601	3.666798
TZI10	1.0054569
TZI11	-0.77737695
TZI16	0.8441832
TZI18	0.606767
TZI25	1.9572896
TZI8	3.951228
TZI9	1.0332328
U267Y	-6.8609424
VA102	-1.8381368
VA14	1.576007
VA17	-6.879236
VA22	2.0807438
VA26	2.5719376
VA35	-1.8768485
VA59	-6.441631
VA85	6.21384
VA99	-3.0387986
VAW6	-6.595794
W117HT	-8.46478
W153R	-8.093527
W182B	0.40240496
W22	-0.60983264
W64A	3.0755854
WD	1.9952438
WF9	-0.5071913
YU796NS	0.3387436
