<Phenotype>
taxa	data
Taxa	dpoll
33-16	-0.68712074
38-11	-0.75294304
4226	-0.69417673
4722	1.259092
A188	-0.29629666
A214N	0.3236892
A239	-0.28465965
A272	0.1847045
A441-5	-0.15924937
A554	0.8637763
A556	0.36849853
A6	1.9777396
A619	-0.8049911
A632	-0.36851764
A634	-2.1561377
A635	-0.29800364
A641	0.12451295
A654	0.20113617
A659	-1.5605052
A661	-1.6346731
A679	0.2582835
A680	-0.8404191
A682	-0.5559083
AB28A	2.5078835
B10	1.0506165
B103	-1.5588522
B104	-0.32565868
B105	0.511949
B109	-1.941406
B115	0.029788539
B14A	-0.014045632
B164	-1.6901274
B2	1.3854568
B37	1.8253267
B46	1.3842354
B52	1.3084179
B57	0.068583794
B64	0.5429973
B68	2.1999536
B73	3.3071837
B73HTRHM	0.43687883
B75	-0.8552858
B76	-2.2912858
B77	0.09675445
B79	0.44589165
B84	0.31910825
B97	-0.9994856
C103	1.3465085
C123	-0.66397995
C49A	-1.3981646
CH701-30	-0.5422081
CH9	0.64377797
CI187-2	0.86044997
CI21E	0.11800665
CI28A	-0.8929914
CI31A	1.773151
CI3A	0.97587544
CI64	0.45614463
CI66	1.262976
CI7	0.7384158
CI90C	-0.482568
CI91B	1.0603623
CM105	1.3972416
CM174	-0.44096965
CM37	-0.77947086
CM7	-0.28764266
CML10	-0.20929901
CML103	-0.9895944
CML108	-0.9016161
CML11	1.1361561
CML14	1.4811629
CML154Q	-0.3900916
CML157Q	-0.5356575
CML158Q	0.5416098
CML218	-0.5605405
CML220	-1.8578413
CML228	-0.56326634
CML238	0.13251443
CML247	1.8344771
CML258	0.7593749
CML261	0.75341195
CML264	1.4184633
CML277	0.008493189
CML281	1.8046387
CML287	0.28126836
CML314	-1.5036597
CML321	1.1814129
CML322	-0.3253673
CML323	-0.39523476
CML328	-1.1808543
CML331	1.4498097
CML332	-1.4899218
CML333	-0.76238173
CML341	-0.66501635
CML38	0.44439262
CML45	1.5366437
CML5	0.29426214
CML52	1.6333339
CML69	-0.25797492
CML77	-0.84017956
CML91	-0.4068975
CML92	0.20301986
CMV3	-0.80410314
CO106	-1.849249
CO125	-0.7518593
CO255	0.15443979
D940Y	0.627343
DE1	1.8995368
DE2	-1.3406339
DE3	-0.4803713
DE811	1.1978909
E2558W	-0.2976269
EP1	-0.9584484
F2834T	-2.0209885
F44	0.46861738
F6	1.8646649
F7	-1.120087
GA209	1.3080484
GT112	1.2049137
H105W	0.0699755
H49	-2.186279
H84	0.47984105
H91	0.75277835
H95	0.4300415
H99	0.0954267
HI27	-0.111144885
HP301	-1.7660276
HY	-0.50341254
I137TN	0.5042891
I205	0.48058772
I29	-0.6835935
IA2132	0.9145887
IA5125	-0.0051338538
IDS28	0.27303317
IDS69	1.902155
IDS91	-0.8282386
IL101	0.7096643
IL14H	-0.48717186
IL677A	0.89889336
K148	-0.5935672
K4	0.44466648
K55	-0.44454974
K64	-0.39449546
KI11	0.24174939
KI14	1.0501045
KI2021	0.5211687
KI21	0.6360119
KI3	-1.0421942
KI43	0.6542682
KI44	-0.32860878
KY21	0.61184573
KY226	1.0846691
KY228	1.5001384
L317	-0.19536926
L578	0.72047067
M14	-0.8969458
M162W	1.3551009
M37W	-0.089360625
MO17	-1.1395025
MO18W	0.04676434
MO1W	-0.2250192
MO24W	-0.78463435
MO44	-2.0968437
MO45	-0.17155634
MO46	-0.30513868
MO47	-1.6796753
MOG	-0.22713293
MP339	-0.20389426
MS1334	0.0887679
MS153	-1.324872
MS71	-0.8759419
MT42	-1.0535555
N192	-1.6962254
N28HT	0.42001075
N6	-0.65941507
N7A	-0.88725615
NC222	0.04465525
NC230	0.6399832
NC232	0.060896575
NC236	1.3030099
NC238	1.1793996
NC250	-0.35224175
NC258	1.1145879
NC260	0.8085365
NC262	-2.408112
NC264	-2.0420544
NC290A	0.4526196
NC294	-0.47512966
NC296	-1.5440003
