PC	eigenvalue	proportion of total	cumulative proportion
0	25.93913	0.06059	0.06059
1	14.72958	0.0344	0.09499
2	9.64447	0.02253	0.11752
3	8.0393	0.01878	0.13629
4	7.63514	0.01783	0.15413
5	6.65967	0.01555	0.16968
6	6.35232	0.01484	0.18452
7	5.79322	0.01353	0.19805
8	5.60696	0.0131	0.21114
9	4.78272	0.01117	0.22232
10	4.64711	0.01085	0.23317
11	4.16587	0.00973	0.2429
12	3.94946	0.00922	0.25212
13	3.8341	0.00896	0.26108
14	3.79463	0.00886	0.26994
15	3.73553	0.00872	0.27867
16	3.52869	0.00824	0.28691
17	3.38608	0.00791	0.29482
18	3.33822	0.0078	0.30261
19	3.24475	0.00758	0.31019
20	3.21634	0.00751	0.31771
21	3.14588	0.00735	0.32505
22	2.99248	0.00699	0.33204
23	2.93246	0.00685	0.33889
24	2.90255	0.00678	0.34567
25	2.85215	0.00666	0.35233
26	2.78565	0.00651	0.35884
27	2.75154	0.00643	0.36527
28	2.67003	0.00624	0.3715
29	2.65398	0.0062	0.3777
30	2.6039	0.00608	0.38378
31	2.54666	0.00595	0.38973
32	2.51301	0.00587	0.3956
33	2.48675	0.00581	0.40141
34	2.45436	0.00573	0.40714
35	2.41701	0.00565	0.41279
36	2.40609	0.00562	0.41841
37	2.3873	0.00558	0.42398
38	2.34819	0.00548	0.42947
39	2.34045	0.00547	0.43493
40	2.29264	0.00535	0.44029
41	2.27617	0.00532	0.44561
42	2.24292	0.00524	0.45084
43	2.21873	0.00518	0.45603
44	2.19926	0.00514	0.46116
45	2.17579	0.00508	0.46625
46	2.15795	0.00504	0.47129
47	2.13746	0.00499	0.47628
48	2.12075	0.00495	0.48123
49	2.07484	0.00485	0.48608
50	2.08049	0.00486	0.49094
51	2.04916	0.00479	0.49572
52	2.03525	0.00475	0.50048
53	2.00955	0.00469	0.50517
54	2.0003	0.00467	0.50984
55	1.97428	0.00461	0.51445
56	1.96377	0.00459	0.51904
57	1.9526	0.00456	0.5236
58	1.93939	0.00453	0.52813
59	1.92949	0.00451	0.53264
60	1.91972	0.00448	0.53712
61	1.90523	0.00445	0.54157
62	1.88633	0.00441	0.54598
63	1.85474	0.00433	0.55031
64	1.83461	0.00429	0.55459
65	1.82989	0.00427	0.55887
66	1.81973	0.00425	0.56312
67	1.8179	0.00425	0.56736
68	1.80317	0.00421	0.57158
69	0.04449	1.0391E-4	0.57168
70	0.05008	1.1697E-4	0.5718
71	0.05793	1.353E-4	0.57193
72	1.77961	0.00416	0.57609
73	1.76681	0.00413	0.58022
74	1.7607	0.00411	0.58433
75	0.08635	2.0169E-4	0.58453
76	1.74171	0.00407	0.5886
77	0.09873	2.3061E-4	0.58883
78	1.72787	0.00404	0.59286
79	1.72183	0.00402	0.59689
80	1.71136	0.004	0.60088
81	0.11373	2.6563E-4	0.60115
82	1.68335	0.00393	0.60508
83	1.67387	0.00391	0.60899
84	0.1259	2.9406E-4	0.60928
85	0.1316	3.0738E-4	0.60959
86	0.13988	3.2672E-4	0.60992
87	0.14043	3.2799E-4	0.61025
88	0.14511	3.3893E-4	0.61058
89	0.15107	3.5285E-4	0.61094
90	0.15728	3.6735E-4	0.61131
91	0.16068	3.753E-4	0.61168
92	0.16931	3.9544E-4	0.61208
93	0.16835	3.932E-4	0.61247
94	0.18264	4.2658E-4	0.6129
95	0.18703	4.3685E-4	0.61333
96	0.19371	4.5245E-4	0.61378
97	1.6645	0.00389	0.61767
98	1.65229	0.00386	0.62153
99	1.6435	0.00384	0.62537
100	1.63617	0.00382	0.62919
101	1.62986	0.00381	0.633
102	0.20727	4.8412E-4	0.63348
103	1.60444	0.00375	0.63723
104	1.59814	0.00373	0.64096
105	0.22706	5.3034E-4	0.64149
106	0.22851	5.3372E-4	0.64203
107	0.23282	5.438E-4	0.64257
108	1.58063	0.00369	0.64626
109	1.57729	0.00368	0.64995
110	0.25043	5.8493E-4	0.65053
111	0.25571	5.9727E-4	0.65113
112	1.56023	0.00364	0.65477
113	1.55192	0.00362	0.6584
114	1.54492	0.00361	0.66201
115	1.53718	0.00359	0.6656
116	0.26962	6.2974E-4	0.66623
117	1.51727	0.00354	0.66977
118	1.51872	0.00355	0.67332
119	1.50359	0.00351	0.67683
120	1.49522	0.00349	0.68032
121	0.2812	6.5678E-4	0.68098
122	0.29167	6.8125E-4	0.68166
123	0.29074	6.7906E-4	0.68234
124	0.30599	7.1469E-4	0.68305
125	0.31448	7.3453E-4	0.68379
126	1.4719	0.00344	0.68723
127	1.46241	0.00342	0.69064
128	1.45653	0.0034	0.69404
129	0.32578	7.6091E-4	0.6948
130	0.33351	7.7897E-4	0.69558
131	1.44722	0.00338	0.69896
132	1.43716	0.00336	0.70232
133	1.4302	0.00334	0.70566
134	0.34452	8.047E-4	0.70647
135	0.35088	8.1953E-4	0.70729
136	0.35241	8.2311E-4	0.70811
137	1.42339	0.00332	0.71143
138	0.36029	8.4152E-4	0.71227
139	1.41604	0.00331	0.71558
140	0.36895	8.6175E-4	0.71644
141	0.37563	8.7736E-4	0.71732
142	0.38193	8.9206E-4	0.71821
143	1.4004	0.00327	0.72148
144	1.3957	0.00326	0.72474
145	1.38525	0.00324	0.72798
146	1.37572	0.00321	0.73119
147	1.37147	0.0032	0.7344
148	1.35982	0.00318	0.73757
149	0.39812	9.2989E-4	0.7385
150	0.40016	9.3463E-4	0.73944
151	0.40581	9.4784E-4	0.74038
152	0.41496	9.6922E-4	0.74135
153	0.41851	9.7751E-4	0.74233
154	1.33322	0.00311	0.74545
155	1.33425	0.00312	0.74856
156	1.32509	0.00309	0.75166
157	0.43445	0.00101	0.75267
158	0.44111	0.00103	0.7537
159	0.44331	0.00104	0.75474
160	1.31665	0.00308	0.75781
161	1.31034	0.00306	0.76087
162	1.30149	0.00304	0.76391
163	1.29662	0.00303	0.76694
164	0.45155	0.00105	0.768
165	0.46	0.00107	0.76907
166	0.46315	0.00108	0.77015
167	1.28695	0.00301	0.77316
168	1.27887	0.00299	0.77614
