性状,遗传力h2,alpha,CV_R2,R2,RMSE,MAE,r,品种数
height,0.9246369724205755,1000,0.5031974196434021,0.5199424028396606,6.388940267310207,4.986867904663086,0.7218648553867102,5544
R8,0.935070384551846,300,0.5210525751113891,0.5645565986633301,2.9348817885344034,2.2277414798736572,0.7524363974359575,5544
planting,0.3212018811720007,3000,0.3006408452987671,0.3593471646308899,0.060446334625241266,0.049865007400512695,0.6004189144646169,5544
flower,0.8021638924332125,1000,0.4198380708694458,0.4743626117706299,1.4654929388286775,1.127058982849121,0.6894787135450001,5541
maturity,0.9327566123953398,300,0.5196466445922852,0.5592024326324463,2.8626530102476755,2.174248695373535,0.7489939735054465,5544
lodging,0.7947360148496337,1000,0.4192191243171692,0.4503268599510193,0.247446068465302,0.1900257021188736,0.6713900300212804,5544
yield,0.750096057244809,3000,0.5389158964157105,0.569700300693512,179.51177276852903,142.34336853027344,0.7561393577899436,5544
protein,0.8244652693087747,1000,0.5338358283042908,0.5555956363677979,0.5000368343137045,0.390146940946579,0.7473914591942132,5543
oil,0.8823356197385372,1000,0.5348229765892029,0.5992425680160522,0.35001385056814877,0.27125799655914307,0.7759417632682746,5543
size,0.8777955150086412,1000,0.541637372970581,0.5999221801757812,0.807859409822254,0.6280294060707092,0.7745915249113835,5543
