"","X","year","family","height","R8","planting","flower","maturity","lodging","yield","protein","oil","size"
"DS11-02002",28474.5,2012.25,2,100.4,131.4,519.333333333333,699.4,928.6,1.91,3632.91666666667,34.0666666666667,19.2666666666667,15.3833333333333
"DS11-02003",28475.5,2012.25,2,96,125.444444444444,519.333333333333,701.8,923,1.66,3417.33333333333,33,20.0166666666667,14.7
"DS11-02004",28476.5,2012.25,2,107.1,131.8,519.333333333333,700.8,929,1.81,3815.5,34.5166666666667,19.1333333333333,15.5
"DS11-02005",28477.5,2012.25,2,102.3,132.5,519.333333333333,705.6,929.7,2.16,3940.16666666667,33.65,19.55,17
"DS11-02006",28478.5,2012.25,2,97.3,129.1,519.333333333333,702.6,926.3,2.06,3666.58333333333,32.1,19.7833333333333,15.5166666666667
"DS11-02007",28479.5,2012.25,2,99.6,129.4,519.333333333333,702.6,926.6,1.41,3862.91666666667,33.0666666666667,19.7666666666667,15.9166666666667
"DS11-02008",28480.5,2012.25,2,105.4,132.6,519.333333333333,700,929.8,1.76,3903.66666666667,34.4666666666667,19.15,16
"DS11-02009",28481.5,2012.25,2,103.7,132.3,519.333333333333,701,929.5,1.81,4056.41666666667,34.5333333333333,18.9833333333333,15.65
"DS11-02010",28482.5,2012.25,2,106.2,131.6,519.333333333333,699,928.8,1.86,3810.83333333333,34,19.2166666666667,15.3166666666667
"DS11-02011",28483.5,2012.25,2,105.5,130.9,519.333333333333,699,928.1,1.96,3874.41666666667,34.3,19.0833333333333,15.1666666666667
"DS11-02014",28484.5,2012.25,2,88.8,127.777777777778,519.333333333333,703.8,925.333333333333,1.36,3344.08333333333,33.95,19.0166666666667,14.95
"DS11-02016",28485.5,2012.25,2,102.4,132.2,519.333333333333,700.2,929.4,1.81,3723.08333333333,34.7833333333333,18.8666666666667,15.6666666666667
"DS11-02017",28486.5,2012.25,2,97.9,126.7,519.333333333333,699.2,923.9,1.31,3513.25,34.6166666666667,18.8333333333333,15.4333333333333
"DS11-02019",28487.5,2012.25,2,104.8,128.444444444444,519.333333333333,702.4,926,1.56,3783.83333333333,34.4333333333333,19.65,16.5666666666667
"DS11-02021",28488.5,2012.25,2,104.7,129.7,519.333333333333,700.2,926.9,1.71,3726.91666666667,34.0666666666667,19.2833333333333,15.5333333333333
"DS11-02022",28489.5,2012.25,2,93.1,129.5,519.333333333333,701.4,926.7,1.41,3705.83333333333,34.0666666666667,19.6166666666667,17.1
"DS11-02023",28490.5,2012.25,2,102.8,128.7,519.333333333333,701.6,925.9,2.11,3919.66666666667,33.8,18.85,13.4
"DS11-02024",28491.5,2012.25,2,97.2,127.666666666667,519.333333333333,700.8,925.222222222222,1.46,3566.41666666667,35.1,19.3,14.8
"DS11-02025",28492.5,2012.25,2,105.5,130.222222222222,519.333333333333,699.8,927.777777777778,2.41,3426.41666666667,34.3,19.0166666666667,14.8833333333333
"DS11-02026",28493.5,2012.25,2,105.4,131.4,519.333333333333,703,928.6,1.76,3870.08333333333,32.4833333333333,19.7666666666667,14.75
"DS11-02027",28494.5,2012.25,2,102.3,132.8,519.333333333333,705,930,1.93,3867.25,33.4,19.8166666666667,17.2666666666667
"DS11-02029",28495.5,2012.25,2,96.8,126.1,519.333333333333,698.4,923.3,1.31,3677.08333333333,33.8666666666667,19.65,16.1166666666667
"DS11-02030",28496.5,2012.25,2,99,123.1,519.333333333333,701.4,920.3,1.46,3621.16666666667,33.8166666666667,19.4333333333333,14.9333333333333
"DS11-02031",28497.5,2012.25,2,92.5,127,519.333333333333,702,924.2,1.36,3618.33333333333,34.1833333333333,19.1166666666667,16.7333333333333
"DS11-02032",28498.5,2012.25,2,93.9,124.7,519.333333333333,701.4,921.9,1.31,3460.75,34.2333333333333,19.8333333333333,16.6
"DS11-02033",28499.5,2012.25,2,94.7,127.6,519.333333333333,701.8,924.8,1.31,3724.33333333333,32.7333333333333,20.3,15.1666666666667
"DS11-02035",28500.5,2012.25,2,93,125.222222222222,519.333333333333,697,922.777777777778,1.41,3594.25,34.1,19.75,16.0666666666667
