Trait	Eigenvector1	Eigenvector2	Eigenvector3	Eigenvector4	Eigenvector5
PZB00859.1	0.00165	-1.5445E-2	0.00129	-1.871E-2	-4.1149E-2
PZA01271.1	0.02952	0.022	0.01374	-4.5437E-3	-3.9156E-2
PZA03613.2	0.00265	-3.3175E-2	-1.8748E-3	-1.2323E-2	0.01258
PZA03613.1	0.03538	0.00601	0.00114	0.02056	-4.0362E-2
PZA03614.2	-9.7563E-3	0.05052	-2.3762E-2	-8.8924E-4	0.03163
PZA03614.1	-3.0569E-2	0.03247	0.03996	0.02466	-3.6293E-2
PZA00258.3	0.00432	0.04671	-2.3458E-2	0.00548	0.00372
PZA02962.13	-1.1249E-2	5.6242E-4	-7.1133E-3	-1.5894E-3	0.01071
PZA02962.14	-6.2021E-3	-4.9253E-3	-6.6737E-3	-1.8444E-3	0.00737
PZA00599.25	0.00425	4.5659E-4	0.00438	-8.7742E-3	-4.1631E-3
PZA02129.1	0.02446	0.02301	0.00127	0.00563	0.02346
PZA00393.1	-1.626E-3	-4.0514E-2	-1.4321E-2	-2.7776E-2	-2.7411E-2
PZA02869.8	-8.9113E-3	-1.6155E-2	-1.4213E-2	0.00342	-3.1637E-2
PZA02869.4	-1.1228E-2	-1.5212E-2	-1.3334E-2	-9.4261E-5	-2.4925E-2
PZA02869.2	-1.121E-2	-1.0502E-2	-1.5076E-2	0.00438	-3.5688E-2
PZA02032.1	0.04734	0.01274	0.00952	0.0141	0.0056
PZB00919.1	-1.7796E-2	0.00421	-7.3798E-3	-8.4892E-3	0.02397
PHM2244.142	0.03838	0.00944	-3.5377E-2	0.02977	0.01201
PZA03093.10	0.02479	0.00704	0.02157	0.03386	0.00436
PZA00181.5	0.02577	-2.1278E-3	-2.2799E-2	0.00388	-6.635E-3
PZA00181.2	0.02933	-1.0935E-2	-3.5901E-2	0.01269	-6.5579E-3
PZA00528.1	0.03003	-1.5709E-3	-3.4841E-2	0.02331	-1.095E-2
PZA00175.2	-2.0808E-2	-1.4269E-2	-1.2224E-2	-2.9356E-2	0.00732
PZA00447.6	-6.0321E-5	-2.0502E-2	0.03797	0.00273	-2.3637E-2
PZA00447.8	0.00738	0.01618	-3.7844E-2	-9.0001E-3	0.03052
PZB01915.1	-2.5233E-2	0.03074	0.00466	-9.8791E-3	-1.9393E-4
PZA03128.1	0.02546	-8.8786E-3	-1.6156E-2	0.02996	-1.2556E-2
PZA03128.3	-1.6514E-2	0.01958	-8.6393E-3	-1.0718E-2	-3.1294E-2
PZA02284.1	0.02287	-1.46E-2	-3.1757E-2	0.02861	-1.4692E-2
PZA00731.6	-2.7338E-2	0.02664	0.00191	-1.5788E-2	-8.0085E-3
PZA00731.7	0.04576	-3.1794E-2	0.00417	0.03392	-4.2912E-5
PZA03519.2	-1.4961E-2	-7.1477E-4	-4.1405E-3	-1.6476E-2	0.03405
PZA03519.1	-1.4675E-2	-5.8092E-3	-1.0998E-2	-1.7358E-2	0.00809
PZA03520.1	0.03638	0.01657	0.01373	-1.1388E-2	-1.9629E-2
PZA03520.2	0.02634	0.01609	-3.1924E-2	-8.1958E-3	0.01362
PZA03520.4	0.01337	-1.3557E-3	0.03623	-1.1166E-3	-2.0554E-3
